"ONG","ISU","Context","Tip_actor","Nr_colaborari","Nr_ISU","Descriere"
"Asociatia Medical International Rescue-Medicala Internationala de Salvare","CJ","Aflux refugiați","volunteer_groups","1","1","Gestionarea ofertelor,monitorizarea și repartizarea spațiilor de cazare"
"Asociatia Misionarilor Padre Pio, Cluj Napoca, str. Eroilor, nr 43","CJ","Aflux refugiați","faith_based","1","1","Gestionarea ofertelor,monitorizarea și repartizarea spațiilor de cazare"
"Asociatia Mustars Seed Jersey, România","BH","Aflux refugiați","international","1","1","asigurare spații de cazare și masă"
"Asociatia Nationala a Interpretilor Autorizati in Limbaj Mimico-Gestual","CJ","Pandemie","professional_assoc","1","1","Servicii"
"Asociatia pentru Caini de Salvare Transilvania","CJ","Pandemie","volunteer_groups","1","1","Altele"
"Asociatia Pentru Integrarea Imigrantilor Si Refugiatilor din MENA (AIR-MENA)","CJ","Aflux refugiați","diaspora_support","1","1","Sprijin pentru integrarea refugiaților și conștientizarea opiniei publice și autorităților în ceea ce privește respectarea drepturilor imigranților și refugiaților;"
"Asociatia SOLIS","CJ","Pandemie","community_orgs","1","1","Bunuri materiale (ex. generatoare, corturi, soluții de iluminat, etc)"
"Asociatia Stejarul Pitic","CJ","Pandemie","community_orgs","1","1","Spații cazare"
"Asociaţia Profesională Neguvernamentală de Asistenţă Socială ASSOC","MM","Aflux refugiați","professional_assoc","1","1","Colaborarea s-a realizat în vederea asigurării pentru refugianți care sosesc în România prin punctul de trecere a frontierei Sighetu Marmației  de hrană, apă și alte materiale de primă necesitate, respectiv  pentru asigurarea unor persoane cunoscătoare de limba ucraineană pentru a se putea comunica cu refugiații."
"Asociația ,,Afterhills”","IS","Aflux refugiați","community_orgs","1","1","Administrează Centrul de Asistență Umanitară CTR Nicolina"
"Asociația ,,Civica""","IS","Aflux refugiați","community_orgs","1","1","A asigurat o masă caldă (prânzul) ți produse de îngrijire cetățeniilor străini sau apatrizii aflați în situații deosebite care provin din zona conflictului armat din Ucraina și care sunt cazați în diverse locații din mun. Iași (la solicitarea administratorilor acestora), precum și în zonele de tranzit (Gara Iași și Aeroportul Internațional Iași). A asigurat traslatori în Vama Sculeni și Aeroportul Iași."
